Município_1,Código do Município_1,Município_2,Estoque_1,Admissões_1,Desligamentos_1,Saldos_1,Variação Relativa (%),data_referencia
RO,110001.0,Ro-Alta Floresta D Oeste,1809,62,74,-12,,2020-01-01
RO,110002.0,Ro-Ariquemes,16200,675,672,3,,2020-01-01
RO,110003.0,Ro-Cabixi,480,45,8,37,,2020-01-01
RO,110004.0,Ro-Cacoal,16113,787,839,-52,,2020-01-01
RO,110005.0,Ro-Cerejeiras,1861,148,65,83,,2020-01-01
RO,110006.0,Ro-Colorado do Oeste,1810,44,75,-31,,2020-01-01
RO,110007.0,Ro-Corumbiara,1131,84,49,35,,2020-01-01
RO,110008.0,Ro-Costa Marques,498,14,8,6,,2020-01-01
RO,110009.0,Ro-Espigao D Oeste,4011,158,186,-28,,2020-01-01
RO,110010.0,Ro-Guajara-Mirim,2840,92,89,3,,2020-01-01
RO,110011.0,Ro-Jaru,9239,348,391,-43,,2020-01-01
RO,110012.0,Ro-Ji-Parana,27187,1179,1202,-23,,2020-01-01
RO,110013.0,Ro-Machadinho D Oeste,2279,105,119,-14,,2020-01-01
RO,110014.0,Ro-Nova Brasilandia D Oeste,1101,37,39,-2,,2020-01-01
RO,110015.0,Ro-Ouro Preto do Oeste,4646,181,195,-14,,2020-01-01
RO,110018.0,Ro-Pimenta Bueno,8934,424,362,62,,2020-01-01
RO,110020.0,Ro-Porto Velho,82946,2544,2989,-445,,2020-01-01
RO,110025.0,Ro-Presidente Medici,1936,153,95,58,,2020-01-01
RO,110026.0,Ro-Rio Crespo,386,21,7,14,,2020-01-01
RO,110028.0,Ro-Rolim de Moura,9852,519,372,147,,2020-01-01
RO,110029.0,Ro-Santa Luzia D Oeste,612,9,12,-3,,2020-01-01
RO,110030.0,Ro-Vilhena,20347,1112,846,266,,2020-01-01
RO,110032.0,Ro-Sao Miguel do Guapore,2458,63,71,-8,,2020-01-01
RO,110033.0,Ro-Nova Mamore,963,31,41,-10,,2020-01-01
RO,110034.0,Ro-Alvorada D Oeste,730,17,35,-18,,2020-01-01
RO,110037.0,Ro-Alto Alegre dos Parecis,534,17,19,-2,,2020-01-01
RO,110040.0,Ro-Alto Paraiso,1164,68,41,27,,2020-01-01
RO,110045.0,Ro-Buritis,2577,135,125,10,,2020-01-01
RO,110050.0,Ro-Novo Horizonte do Oeste,540,12,11,1,,2020-01-01
RO,110060.0,Ro-Cacaulandia,226,9,5,4,,2020-01-01
RO,110070.0,Ro-Campo Novo de Rondonia,434,21,11,10,,2020-01-01
RO,110080.0,Ro-Candeias do Jamari,1741,63,54,9,,2020-01-01
RO,110090.0,Ro-Castanheiras,318,7,6,1,,2020-01-01
RO,110092.0,Ro-Chupinguaia,2595,112,52,60,,2020-01-01
RO,110094.0,Ro-Cujubim,964,28,35,-7,,2020-01-01
RO,110100.0,Ro-Governador Jorge Teixeira,429,18,7,11,,2020-01-01
RO,110110.0,Ro-Itapua do Oeste,781,19,27,-8,,2020-01-01
RO,110120.0,Ro-Ministro Andreazza,529,11,19,-8,,2020-01-01
RO,110130.0,Ro-Mirante da Serra,911,30,27,3,,2020-01-01
RO,110140.0,Ro-Monte Negro,749,19,25,-6,,2020-01-01
RO,110143.0,Ro-Nova Uniao,291,5,5,0,,2020-01-01
RO,110145.0,Ro-Parecis,460,16,16,0,,2020-01-01
RO,110146.0,Ro-Pimenteiras do Oeste,376,51,32,19,,2020-01-01
RO,110147.0,Ro-Primavera da Rondonia,90,4,1,3,,2020-01-01
RO,110148.0,Ro-Sao Felipe D Oeste,296,15,8,7,,2020-01-01
RO,110149.0,Ro-Sao Francisco do Guapore,1022,53,27,26,,2020-01-01
RO,110150.0,Ro-Seringueiras,668,27,20,7,,2020-01-01
RO,110155.0,Ro-Teixeiropolis,257,8,4,4,,2020-01-01
RO,110160.0,Ro-Theobroma,962,14,13,1,,2020-01-01
RO,110170.0,Ro-Urupa,989,39,20,19,,2020-01-01
RO,110175.0,Ro-Vale do Anari,302,10,21,-11,,2020-01-01
RO,110180.0,Ro-Vale do Paraiso,340,13,13,0,,2020-01-01
AC,120001.0,Ac-Acrelandia,963,22,13,9,,2020-01-01
AC,120005.0,Ac-Assis Brasil,335,9,9,0,,2020-01-01
AC,120010.0,Ac-Brasileia,1518,52,70,-18,,2020-01-01
AC,120013.0,Ac-Bujari,1258,37,15,22,,2020-01-01
AC,120017.0,Ac-Capixaba,539,8,1,7,,2020-01-01
AC,120020.0,Ac-Cruzeiro do Sul,6952,195,401,-206,,2020-01-01
AC,120025.0,Ac-Epitaciolandia,1792,37,29,8,,2020-01-01
AC,120030.0,Ac-Feijo,1003,12,17,-5,,2020-01-01
AC,120032.0,Ac-Jordao,706,1,0,1,,2020-01-01
AC,120033.0,Ac-Mancio Lima,229,8,11,-3,,2020-01-01
AC,120034.0,Ac-Manoel Urbano,241,1,4,-3,,2020-01-01
AC,120035.0,Ac-Marechal Thaumaturgo,58,0,0,0,,2020-01-01
AC,120038.0,Ac-Placido de Castro,893,19,98,-79,,2020-01-01
AC,120039.0,Ac-Porto Walter,427,16,0,16,,2020-01-01
AC,120040.0,Ac-Rio Branco,58604,2366,1973,393,,2020-01-01
AC,120042.0,Ac-Rodrigues Alves,73,2,0,2,,2020-01-01
AC,120043.0,Ac-Santa Rosa do Purus,31,2,0,2,,2020-01-01
AC,120045.0,Ac-Senador Guiomard,1508,40,34,6,,2020-01-01
AC,120050.0,Ac-Sena Madureira,1955,78,37,41,,2020-01-01
AC,120060.0,Ac-Tarauaca,1023,38,68,-30,,2020-01-01
AC,120070.0,Ac-Xapuri,696,36,10,26,,2020-01-01
AC,120080.0,Ac-Porto Acre,559,8,4,4,,2020-01-01
AM,130002.0,Am-Alvaraes,83,0,1,-1,,2020-01-01
AM,130006.0,Am-Amatura,19,0,0,0,,2020-01-01
AM,130008.0,Am-Anama,14,0,0,0,,2020-01-01
AM,130010.0,Am-Anori,366,5,1,4,,2020-01-01
AM,130014.0,Am-Apui,474,13,6,7,,2020-01-01
AM,130020.0,Am-Atalaia do Norte,43,0,0,0,,2020-01-01
AM,130030.0,Am-Autazes,306,15,19,-4,,2020-01-01
AM,130040.0,Am-Barcelos,200,5,0,5,,2020-01-01
AM,130050.0,Am-Barreirinha,270,12,2,10,,2020-01-01
AM,130060.0,Am-Benjamin Constant,1139,1,5,-4,,2020-01-01
AM,130063.0,Am-Beruri,31,0,1,-1,,2020-01-01
AM,130068.0,Am-Boa Vista do Ramos,70,0,1,-1,,2020-01-01
AM,130070.0,Am-Boca do Acre,1929,39,21,18,,2020-01-01
AM,130080.0,Am-Borba,155,4,22,-18,,2020-01-01
AM,130083.0,Am-Caapiranga,14,0,0,0,,2020-01-01
AM,130090.0,Am-Canutama,57,0,0,0,,2020-01-01
AM,130100.0,Am-Carauari,236,0,2,-2,,2020-01-01
AM,130110.0,Am-Careiro,371,11,3,8,,2020-01-01
AM,130115.0,Am-Careiro da Varzea,20,1,4,-3,,2020-01-01
AM,130120.0,Am-Coari,1787,18,42,-24,,2020-01-01
AM,130130.0,Am-Codajas,185,1,16,-15,,2020-01-01
AM,130140.0,Am-Eirunepe,571,23,2,21,,2020-01-01
AM,130150.0,Am-Envira,78,2,2,0,,2020-01-01
AM,130160.0,Am-Fonte Boa,53,0,1,-1,,2020-01-01
AM,130165.0,Am-Guajara,59,0,1,-1,,2020-01-01
AM,130170.0,Am-Humaita,2396,80,56,24,,2020-01-01
AM,130180.0,Am-Ipixuna,39,0,4,-4,,2020-01-01
AM,130185.0,Am-Iranduba,2352,91,76,15,,2020-01-01
AM,130190.0,Am-Itacoatiara,4956,173,169,4,,2020-01-01
AM,130195.0,Am-Itamarati,37,0,0,0,,2020-01-01
AM,130200.0,Am-Itapiranga,34,1,1,0,,2020-01-01
AM,130210.0,Am-Japura,702,8,1,7,,2020-01-01
AM,130220.0,Am-Jurua,38,1,1,0,,2020-01-01
AM,130230.0,Am-Jutai,66,0,2,-2,,2020-01-01
AM,130240.0,Am-Labrea,634,7,8,-1,,2020-01-01
AM,130250.0,Am-Manacapuru,3436,93,77,16,,2020-01-01
AM,130255.0,Am-Manaquiri,76,1,2,-1,,2020-01-01
