Município_1,Código do Município_1,Município_2,Estoque_2,Admissões_2,Desligamentos_2,Saldos_2,Variação Relativa (%)_1,data_referencia
RO,110001.0,Ro-Alta Floresta D Oeste,1815,79,73,6,0.33167495854063017,2020-02-01
RO,110002.0,Ro-Ariquemes,16282,727,645,82,0.5061728395061729,2020-02-01
RO,110003.0,Ro-Cabixi,482,18,16,2,0.4166666666666667,2020-02-01
RO,110004.0,Ro-Cacoal,16305,942,750,192,1.1915844349283187,2020-02-01
RO,110005.0,Ro-Cerejeiras,1888,91,64,27,1.4508328855454058,2020-02-01
RO,110006.0,Ro-Colorado do Oeste,1809,71,72,-1,-0.05524861878453039,2020-02-01
RO,110007.0,Ro-Corumbiara,1150,75,56,19,1.6799292661361624,2020-02-01
RO,110008.0,Ro-Costa Marques,494,8,12,-4,-0.8032128514056224,2020-02-01
RO,110009.0,Ro-Espigao D Oeste,4008,152,155,-3,-0.07479431563201197,2020-02-01
RO,110010.0,Ro-Guajara-Mirim,2835,70,75,-5,-0.17605633802816903,2020-02-01
RO,110011.0,Ro-Jaru,9146,255,348,-93,-1.006602446152181,2020-02-01
RO,110012.0,Ro-Ji-Parana,27016,1286,1457,-171,-0.6289770846360393,2020-02-01
RO,110013.0,Ro-Machadinho D Oeste,2317,118,80,38,1.6673979815708644,2020-02-01
RO,110014.0,Ro-Nova Brasilandia D Oeste,1119,56,38,18,1.6348773841961852,2020-02-01
RO,110015.0,Ro-Ouro Preto do Oeste,4675,217,188,29,0.6241928540680155,2020-02-01
RO,110018.0,Ro-Pimenta Bueno,9071,457,320,137,1.533467651667786,2020-02-01
RO,110020.0,Ro-Porto Velho,83258,3564,3252,312,0.37614833747257254,2020-02-01
RO,110025.0,Ro-Presidente Medici,1981,138,93,45,2.324380165289256,2020-02-01
RO,110026.0,Ro-Rio Crespo,411,31,6,25,6.476683937823833,2020-02-01
RO,110028.0,Ro-Rolim de Moura,9819,411,444,-33,-0.33495736906211937,2020-02-01
RO,110029.0,Ro-Santa Luzia D Oeste,605,9,16,-7,-1.1437908496732025,2020-02-01
RO,110030.0,Ro-Vilhena,20540,1024,831,193,0.9485427827198113,2020-02-01
RO,110032.0,Ro-Sao Miguel do Guapore,2512,125,71,54,2.196908055329536,2020-02-01
RO,110033.0,Ro-Nova Mamore,999,55,19,36,3.7383177570093453,2020-02-01
RO,110034.0,Ro-Alvorada D Oeste,734,30,26,4,0.547945205479452,2020-02-01
RO,110037.0,Ro-Alto Alegre dos Parecis,531,13,16,-3,-0.5617977528089888,2020-02-01
RO,110040.0,Ro-Alto Paraiso,1167,30,27,3,0.25773195876288657,2020-02-01
